lnc	gname	DBD	DBR_ID	DBR	DBR_chr	DBR_start	DBR_end	DBR_span	DBR_RBR_count	DBR_TFO_count	DBR_RBR_span	DBR_TFO_abj1	DBR_TFO_abj2	DBR_score	DBR_error_rate	DBR_gc_error	BR_list
lnc_inter_chr10_8711	Aebp2	5	lnc_inter_chr10_8711_Aebp2_DBR4	4	chr10	2916	2946	30	1	3	46	2.123076923076923	6.36923076923077	17.333333333333332	0.2	0.04666666666666667	lnc_inter_chr10_8711_DBR4_Aebp2_RBR2
lnc_inter_chr10_8711	Anxa7	5	lnc_inter_chr10_8711_Anxa7_DBR2	2	chr10	2925	2946	21	1	2	23	1.1219512195121952	2.2439024390243905	16.5	0.195	0.07250000000000001	lnc_inter_chr10_8711_DBR2_Anxa7_RBR1
lnc_inter_chr10_8711	Anapc15	6	lnc_inter_chr10_8711_Anapc15_DBR2	2	chr10	3212	3236	24	1	3	24	1.2	3.5999999999999996	16.333333333333332	0.18333333333333335	0.11666666666666668	lnc_inter_chr10_8711_DBR2_Anapc15_RBR3
lnc_inter_chr10_8711	1110004F10Rik	6	lnc_inter_chr10_8711_1110004F10Rik_DBR1	1	chr10	3208	3237	29	2	4	44	2.180327868852459	4.540983606557377	16.166666666666664	0.19833333333333336	0.133	lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR1,lnc_inter_chr10_8711_DBR1_1110004F10Rik_RBR2
lnc_inter_chr10_8711	2900026A02Rik	6	lnc_inter_chr10_8711_2900026A02Rik_DBR1	1	chr10	3214	3237	23	1	3	30	1.475409836065574	4.426229508196721	16.333333333333332	0.19666666666666668	0.11333333333333334	lnc_inter_chr10_8711_DBR1_2900026A02Rik_RBR1
lnc_inter_chr10_8711	Aarsd1	6	lnc_inter_chr10_8711_Aarsd1_DBR1	1	chr10	3217	3237	20	1	2	21	1.05	2.1	16	0.2	0	lnc_inter_chr10_8711_DBR1_Aarsd1_RBR1
lnc_inter_chr10_8711	Abca8a	6	lnc_inter_chr10_8711_Abca8a_DBR2	2	chr10	3207	3237	30	2	3	40	2	3	16.5	0.175	0.075	lnc_inter_chr10_8711_DBR2_Abca8a_RBR1,lnc_inter_chr10_8711_DBR2_Abca8a_RBR2
lnc_inter_chr10_8711	Acbd3	6	lnc_inter_chr10_8711_Acbd3_DBR1	1	chr10	3212	3237	25	1	2	26	1.1555555555555554	2.311111111111111	18	0.2	0.08499999999999999	lnc_inter_chr10_8711_DBR1_Acbd3_RBR1
lnc_inter_chr10_8711	Actr1a	6	lnc_inter_chr10_8711_Actr1a_DBR1	1	chr10	3217	3237	20	1	2	21	1.05	2.1	16	0.2	0.1	lnc_inter_chr10_8711_DBR1_Actr1a_RBR1
lnc_inter_chr10_8711	Actr5	6	lnc_inter_chr10_8711_Actr5_DBR1	1	chr10	3214	3237	23	3	6	77	3.7928571428571423	7.585714285714285	16.5	0.18833333333333332	0.07333333333333333	lnc_inter_chr10_8711_DBR1_Actr5_RBR1,lnc_inter_chr10_8711_DBR1_Actr5_RBR2,lnc_inter_chr10_8711_DBR1_Actr5_RBR3
lnc_inter_chr10_8711	Aen	6	lnc_inter_chr10_8711_Aen_DBR2	2	chr10	3207	3237	30	2	6	46	2.284567901234568	7.038271604938272	16.375	0.18625000000000003	0.036875	lnc_inter_chr10_8711_DBR2_Aen_RBR3,lnc_inter_chr10_8711_DBR2_Aen_RBR4
lnc_inter_chr10_8711	Agrn	6	lnc_inter_chr10_8711_Agrn_DBR2	2	chr10	3208	3237	29	1	14	26	1.2907801418439715	18.070921985815605	16.357142857142858	0.1878571428571429	0.01007142857142857	lnc_inter_chr10_8711_DBR2_Agrn_RBR2
lnc_inter_chr10_8711	Agtr1a	6	lnc_inter_chr10_8711_Agtr1a_DBR3	3	chr10	3207	3237	30	1	31	141	6.927099841521394	214.7400950871632	16.29032258064516	0.1996774193548387	0.18096774193548387	lnc_inter_chr10_8711_DBR3_Agtr1a_RBR1
lnc_inter_chr10_8711	Ahsa1	6	lnc_inter_chr10_8711_Ahsa1_DBR1	1	chr10	3215	3237	22	2	3	48	2.3	3.6	17	0.19	0.115	lnc_inter_chr10_8711_DBR1_Ahsa1_RBR1,lnc_inter_chr10_8711_DBR1_Ahsa1_RBR2
lnc_inter_chr10_8711	Alg6	6	lnc_inter_chr10_8711_Alg6_DBR1	1	chr10	3217	3237	20	1	15	24	1.2	18	17	0.15	0	lnc_inter_chr10_8711_DBR1_Alg6_RBR1
lnc_inter_chr10_8711	Amigo2	6	lnc_inter_chr10_8711_Amigo2_DBR1	1	chr10	3217	3237	20	1	3	23	1.15	3.4499999999999997	16	0.2	0	lnc_inter_chr10_8711_DBR1_Amigo2_RBR1
lnc_inter_chr10_8711	Ankrd54	6	lnc_inter_chr10_8711_Ankrd54_DBR1	1	chr10	3217	3237	20	1	42	33	1.65	69.3	17	0.15	0	lnc_inter_chr10_8711_DBR1_Ankrd54_RBR1
lnc_inter_chr10_8711	Aox3	6	lnc_inter_chr10_8711_Aox3_DBR2	2	chr10	3215	3237	22	1	3	28	1.3548387096774193	4.064516129032258	17	0.17666666666666667	0.015	lnc_inter_chr10_8711_DBR2_Aox3_RBR2
lnc_inter_chr10_8711	Ap1g1	6	lnc_inter_chr10_8711_Ap1g1_DBR1	1	chr10	3215	3237	22	1	34	32	1.5929721815519764	54.161054172767194	17.029411764705884	0.15205882352941175	0.00273529411764705	lnc_inter_chr10_8711_DBR1_Ap1g1_RBR1
lnc_inter_chr10_8711	Arpc2	6	lnc_inter_chr10_8711_Arpc2_DBR1	1	chr10	3217	3237	20	1	19	34	1.7	32.3	16.157894736842106	0.19210526315789475	0	lnc_inter_chr10_8711_DBR1_Arpc2_RBR1
lnc_inter_chr10_8711	Arrdc2	6	lnc_inter_chr10_8711_Arrdc2_DBR1	1	chr10	3217	3237	20	1	2	21	1.05	2.1	16	0.2	0.05	lnc_inter_chr10_8711_DBR1_Arrdc2_RBR1
lnc_inter_chr10_8711	Arsb	6	lnc_inter_chr10_8711_Arsb_DBR1	1	chr10	3217	3237	20	1	6	21	1.05	6.300000000000001	17	0.15	0	lnc_inter_chr10_8711_DBR1_Arsb_RBR1
lnc_inter_chr10_8711	2610507B11Rik	6	lnc_inter_chr10_8711_2610507B11Rik_DBR3	3	chr10	3207	3238	31	1	31	36	1.7090352220520673	52.98009188361409	17.612903225806452	0.16225806451612904	0.01948387096774193	lnc_inter_chr10_8711_DBR3_2610507B11Rik_RBR1
lnc_inter_chr10_8711	Actb	6	lnc_inter_chr10_8711_Actb_DBR4	4	chr10	3208	3238	30	1	24	39	1.8682634730538925	44.83832335329342	16.791666666666668	0.19625	0.05133333333333333	lnc_inter_chr10_8711_DBR4_Actb_RBR1
lnc_inter_chr10_8711	Actr8	6	lnc_inter_chr10_8711_Actr8_DBR3	3	chr10	3207	3238	31	1	42	53	2.5853658536585367	108.58536585365854	16.785714285714285	0.1811904761904762	0.01066666666666666	lnc_inter_chr10_8711_DBR3_Actr8_RBR1
lnc_inter_chr10_8711	Adamts6	6	lnc_inter_chr10_8711_Adamts6_DBR6	6	chr10	3207	3238	31	3	32	105	5.014339670955765	62.952563856347226	17.34259259259259	0.16962962962962963	0.085	lnc_inter_chr10_8711_DBR6_Adamts6_RBR2,lnc_inter_chr10_8711_DBR6_Adamts6_RBR3,lnc_inter_chr10_8711_DBR6_Adamts6_RBR4
lnc_inter_chr10_8711	Akirin2	6	lnc_inter_chr10_8711_Akirin2_DBR3	3	chr10	3207	3238	31	1	15	24	1.1764705882352942	17.647058823529413	16.933333333333334	0.16933333333333334	0.01913333333333333	lnc_inter_chr10_8711_DBR3_Akirin2_RBR1
lnc_inter_chr10_8711	Anapc1	6	lnc_inter_chr10_8711_Anapc1_DBR2	2	chr10	3207	3238	31	1	29	31	1.4713584288052373	42.66939443535188	17.448275862068964	0.1706896551724138	0.01482758620689655	lnc_inter_chr10_8711_DBR2_Anapc1_RBR1
lnc_inter_chr10_8711	Antxr2	6	lnc_inter_chr10_8711_Antxr2_DBR2	2	chr10	3207	3238	31	2	20	55	2.636223591549296	25.28213028169014	17.285714285714285	0.1680952380952381	0.06277380952380952	lnc_inter_chr10_8711_DBR2_Antxr2_RBR1,lnc_inter_chr10_8711_DBR2_Antxr2_RBR2
lnc_inter_chr10_8711	Anxa7	6	lnc_inter_chr10_8711_Anxa7_DBR3	3	chr10	3207	3238	31	1	62	42	2.043956043956044	126.72527472527474	17.338709677419356	0.155	0.00616129032258064	lnc_inter_chr10_8711_DBR3_Anxa7_RBR1
lnc_inter_chr10_8711	Arcn1	6	lnc_inter_chr10_8711_Arcn1_DBR3	3	chr10	3207	3238	31	1	37	35	1.6950261780104712	62.71596858638743	17.27027027027027	0.1627027027027027	0.01208108108108108	lnc_inter_chr10_8711_DBR3_Arcn1_RBR1
lnc_inter_chr10_8711	Arl5a	6	lnc_inter_chr10_8711_Arl5a_DBR2	2	chr10	3215	3238	23	1	27	33	1.6378676470588234	44.22242647058823	16.925925925925927	0.15962962962962962	0.00692592592592592	lnc_inter_chr10_8711_DBR2_Arl5a_RBR1
lnc_inter_chr10_8711	Arntl	6	lnc_inter_chr10_8711_Arntl_DBR4	4	chr10	3207	3238	31	1	28	31	1.4466666666666668	40.50666666666667	17.535714285714285	0.18035714285714283	0.02342857142857142	lnc_inter_chr10_8711_DBR4_Arntl_RBR1
lnc_inter_chr10_8711	Aebp2	6	lnc_inter_chr10_8711_Aebp2_DBR5	5	chr10	3207	3240	33	1	47	56	2.580392156862745	121.278431372549	17.914893617021278	0.17574468085106384	0.05125531914893617	lnc_inter_chr10_8711_DBR5_Aebp2_RBR2
lnc_inter_chr10_8711	Acp6	6	lnc_inter_chr10_8711_Acp6_DBR4	4	chr10	3208	3241	33	3	45	105	5.036083264535913	116.11544403821208	16.58119658119658	0.19444444444444445	0.03739316239316239	lnc_inter_chr10_8711_DBR4_Acp6_RBR1,lnc_inter_chr10_8711_DBR4_Acp6_RBR2,lnc_inter_chr10_8711_DBR4_Acp6_RBR3
lnc_inter_chr10_8711	Arl8b	6	lnc_inter_chr10_8711_Arl8b_DBR3	3	chr10	3207	3244	37	2	15	60	2.891891891891892	27.486486486486488	16.607142857142858	0.1925	0.1175	lnc_inter_chr10_8711_DBR3_Arl8b_RBR1,lnc_inter_chr10_8711_DBR3_Arl8b_RBR2
lnc_inter_chr10_8711	Agrn	7	lnc_inter_chr10_8711_Agrn_DBR3	3	chr10	3251	3271	20	1	8	24	1.2	9.6	16.5	0.175	0	lnc_inter_chr10_8711_DBR3_Agrn_RBR2
lnc_inter_chr10_8711	Alg6	7	lnc_inter_chr10_8711_Alg6_DBR2	2	chr10	3251	3271	20	1	10	24	1.2	12	17	0.15	0	lnc_inter_chr10_8711_DBR2_Alg6_RBR1
lnc_inter_chr10_8711	Ankrd54	7	lnc_inter_chr10_8711_Ankrd54_DBR2	2	chr10	3251	3271	20	1	28	33	1.65	46.2	17	0.15	0	lnc_inter_chr10_8711_DBR2_Ankrd54_RBR1
lnc_inter_chr10_8711	Ap1g1	7	lnc_inter_chr10_8711_Ap1g1_DBR2	2	chr10	3249	3271	22	1	23	32	1.593073593073593	36.64069264069264	17.043478260869566	0.15130434782608695	0.00195652173913043	lnc_inter_chr10_8711_DBR2_Ap1g1_RBR1
lnc_inter_chr10_8711	Arpc2	7	lnc_inter_chr10_8711_Arpc2_DBR2	2	chr10	3251	3271	20	1	14	38	1.9	26.6	16	0.2	0	lnc_inter_chr10_8711_DBR2_Arpc2_RBR1
lnc_inter_chr10_8711	Arsb	7	lnc_inter_chr10_8711_Arsb_DBR2	2	chr10	3251	3271	20	1	4	21	1.05	4.2	17	0.15	0	lnc_inter_chr10_8711_DBR2_Arsb_RBR1
lnc_inter_chr10_8711	2610507B11Rik	7	lnc_inter_chr10_8711_2610507B11Rik_DBR4	4	chr10	3249	3272	23	1	18	31	1.537190082644628	27.669421487603305	16.944444444444443	0.15944444444444444	0.00516666666666666	lnc_inter_chr10_8711_DBR4_2610507B11Rik_RBR1
lnc_inter_chr10_8711	Acp6	7	lnc_inter_chr10_8711_Acp6_DBR5	5	chr10	3251	3272	21	2	22	68	3.3943569553805775	44.49278215223097	16.157894736842103	0.1931578947368421	0.00389473684210526	lnc_inter_chr10_8711_DBR5_Acp6_RBR1,lnc_inter_chr10_8711_DBR5_Acp6_RBR2
lnc_inter_chr10_8711	Actb	7	lnc_inter_chr10_8711_Actb_DBR5	5	chr10	3251	3272	21	1	8	33	1.639751552795031	13.118012422360248	16.25	0.1925	0.02475	lnc_inter_chr10_8711_DBR5_Actb_RBR1
lnc_inter_chr10_8711	Actr8	7	lnc_inter_chr10_8711_Actr8_DBR4	4	chr10	3243	3272	29	1	30	56	2.722852512155592	81.68557536466776	16.9	0.17833333333333334	0.0073	lnc_inter_chr10_8711_DBR4_Actr8_RBR1
lnc_inter_chr10_8711	Adamts6	7	lnc_inter_chr10_8711_Adamts6_DBR7	7	chr10	3251	3272	21	2	18	75	3.722053231939164	37.98669201520913	16.253846153846155	0.19192307692307692	0.023	lnc_inter_chr10_8711_DBR7_Adamts6_RBR2,lnc_inter_chr10_8711_DBR7_Adamts6_RBR3
lnc_inter_chr10_8711	Aebp2	7	lnc_inter_chr10_8711_Aebp2_DBR6	6	chr10	3245	3272	27	1	25	56	2.7450980392156863	68.62745098039215	16.68	0.182	0.01696	lnc_inter_chr10_8711_DBR6_Aebp2_RBR2
lnc_inter_chr10_8711	Akirin2	7	lnc_inter_chr10_8711_Akirin2_DBR4	4	chr10	3249	3272	23	1	9	24	1.180327868852459	10.62295081967213	17	0.16333333333333333	0.01033333333333333	lnc_inter_chr10_8711_DBR4_Akirin2_RBR1
lnc_inter_chr10_8711	Anapc1	7	lnc_inter_chr10_8711_Anapc1_DBR3	3	chr10	3249	3272	23	1	19	30	1.4805194805194806	28.12987012987013	16.894736842105264	0.16578947368421051	0.00726315789473684	lnc_inter_chr10_8711_DBR3_Anapc1_RBR1
lnc_inter_chr10_8711	Antxr2	7	lnc_inter_chr10_8711_Antxr2_DBR3	3	chr10	3249	3272	23	1	9	24	1.180327868852459	10.62295081967213	17.22222222222222	0.15222222222222223	0.01033333333333333	lnc_inter_chr10_8711_DBR3_Antxr2_RBR2
lnc_inter_chr10_8711	Anxa7	7	lnc_inter_chr10_8711_Anxa7_DBR4	4	chr10	3249	3272	23	1	41	41	2.0400485436893203	83.64199029126213	17.024390243902438	0.1526829268292683	0.0034390243902439	lnc_inter_chr10_8711_DBR4_Anxa7_RBR1
lnc_inter_chr10_8711	Arcn1	7	lnc_inter_chr10_8711_Arcn1_DBR4	4	chr10	3249	3272	23	1	23	32	1.586206896551724	36.48275862068965	16.956521739130434	0.1591304347826087	0.00613043478260869	lnc_inter_chr10_8711_DBR4_Arcn1_RBR1
lnc_inter_chr10_8711	Arl5a	7	lnc_inter_chr10_8711_Arl5a_DBR3	3	chr10	3251	3272	21	1	18	31	1.5457063711911356	27.82271468144044	16.833333333333332	0.16055555555555556	0.00266666666666666	lnc_inter_chr10_8711_DBR3_Arl5a_RBR1
lnc_inter_chr10_8711	Arntl	7	lnc_inter_chr10_8711_Arntl_DBR5	5	chr10	3249	3272	23	1	18	31	1.5287671232876712	27.51780821917808	16.72222222222222	0.175	0.00766666666666666	lnc_inter_chr10_8711_DBR5_Arntl_RBR1
lnc_inter_chr10_8711	Agtr1a	8	lnc_inter_chr10_8711_Agtr1a_DBR4	4	chr10	3772	3795	23	1	10	60	2.9702970297029703	29.7029702970297	16.2	0.198	0.139	lnc_inter_chr10_8711_DBR4_Agtr1a_RBR1
lnc_inter_chr10_8711	Arl8b	8	lnc_inter_chr10_8711_Arl8b_DBR5	5	chr10	3774	3795	21	1	2	21	1.05	2.1	16	0.2	0.1	lnc_inter_chr10_8711_DBR5_Arl8b_RBR2
lnc_inter_chr10_8711	Acp6	9	lnc_inter_chr10_8711_Acp6_DBR6	6	chr10	4572	4599	27	1	2	27	1.173913043478261	2.347826086956522	18.5	0.195	0.044	lnc_inter_chr10_8711_DBR6_Acp6_RBR1
lnc_inter_chr10_8711	Abca3	10	lnc_inter_chr10_8711_Abca3_DBR1	1	chr10	4656	4680	24	1	3	20	1	3	16	0.2	0.45	lnc_inter_chr10_8711_DBR1_Abca3_RBR1
lnc_inter_chr10_8711	Agtr1a	10	lnc_inter_chr10_8711_Agtr1a_DBR5	5	chr10	4656	4680	24	1	3	20	1	3	16	0.2	0.3	lnc_inter_chr10_8711_DBR5_Agtr1a_RBR1
lnc_inter_chr10_8711	Abcd2	10	lnc_inter_chr10_8711_Abcd2_DBR3	3	chr10	4655	4681	26	1	4	22	1.0232558139534884	4.093023255813954	17.5	0.185	0.3575	lnc_inter_chr10_8711_DBR3_Abcd2_RBR1
lnc_inter_chr10_8711	Ankrd28	10	lnc_inter_chr10_8711_Ankrd28_DBR1	1	chr10	4651	4681	30	1	8	29	1.2146596858638743	9.717277486910994	19.625	0.17625000000000002	0.43375	lnc_inter_chr10_8711_DBR1_Ankrd28_RBR1
lnc_inter_chr10_8711	Aox3	10	lnc_inter_chr10_8711_Aox3_DBR4	4	chr10	4651	4681	30	1	30	59	2.2987012987012987	68.96103896103897	20.666666666666668	0.19533333333333333	0.2946666666666667	lnc_inter_chr10_8711_DBR4_Aox3_RBR1
lnc_inter_chr10_8711	Araf	10	lnc_inter_chr10_8711_Araf_DBR1	1	chr10	4655	4681	26	1	4	20	1	4	16	0.2	0.3	lnc_inter_chr10_8711_DBR1_Araf_RBR1
lnc_inter_chr10_8711	A430005L14Rik	10	lnc_inter_chr10_8711_A430005L14Rik_DBR1	1	chr10	4653	4683	30	1	7	26	1.1375	7.9625	18.857142857142858	0.1742857142857143	0.41285714285714287	lnc_inter_chr10_8711_DBR1_A430005L14Rik_RBR2
lnc_inter_chr10_8711	Actb	10	lnc_inter_chr10_8711_Actb_DBR7	7	chr10	4655	4683	28	1	8	26	1.2530120481927711	10.024096385542167	16.75	0.1925	0.40375	lnc_inter_chr10_8711_DBR7_Actb_RBR1
lnc_inter_chr10_8711	Aen	10	lnc_inter_chr10_8711_Aen_DBR4	4	chr10	4651	4683	32	1	20	42	1.8300653594771243	36.60130718954249	18.65	0.1865	0.437	lnc_inter_chr10_8711_DBR4_Aen_RBR1
lnc_inter_chr10_8711	Apoh	10	lnc_inter_chr10_8711_Apoh_DBR1	1	chr10	4653	4683	30	1	7	26	1.1446540880503144	8.0125786163522	18.714285714285715	0.1757142857142857	0.47285714285714286	lnc_inter_chr10_8711_DBR1_Apoh_RBR1
lnc_inter_chr10_8711	Arap2	10	lnc_inter_chr10_8711_Arap2_DBR1	1	chr10	4651	4683	32	1	9	30	1.2616822429906542	11.355140186915888	19.555555555555557	0.17555555555555555	0.31555555555555553	lnc_inter_chr10_8711_DBR1_Arap2_RBR1
lnc_inter_chr10_8711	Adamts6	10	lnc_inter_chr10_8711_Adamts6_DBR8	8	chr10	4647	4685	38	1	49	78	2.919786096256684	143.06951871657753	22.040816326530617	0.17314285714285715	0.4353061224489796	lnc_inter_chr10_8711_DBR8_Adamts6_RBR5
lnc_inter_chr10_8711	Arhgef19	10	lnc_inter_chr10_8711_Arhgef19_DBR1	1	chr10	4649	4694	45	1	9	24	1.11340206185567	10.020618556701027	19.22222222222222	0.10922222222222222	0.4166666666666667	lnc_inter_chr10_8711_DBR1_Arhgef19_RBR1
lnc_inter_chr10_8711	0610010F05Rik	10	lnc_inter_chr10_8711_0610010F05Rik_DBR2	2	chr10	4643	4696	53	1	142	90	3.2577109355085394	462.5949528422126	23.133802816901408	0.16516197183098594	0.3564788732394366	lnc_inter_chr10_8711_DBR2_0610010F05Rik_RBR2
lnc_inter_chr10_8711	Abca8a	10	lnc_inter_chr10_8711_Abca8a_DBR4	4	chr10	4643	4696	53	2	200	102	4.192973858970243	627.5096233461194	19.107142857142858	0.17752551020408164	0.3872704081632653	lnc_inter_chr10_8711_DBR4_Abca8a_RBR3,lnc_inter_chr10_8711_DBR4_Abca8a_RBR4
lnc_inter_chr10_8711	Abcb7	10	lnc_inter_chr10_8711_Abcb7_DBR1	1	chr10	4645	4696	51	1	64	68	2.517061885482938	161.09196067090804	22.640625	0.16240625	0.40609375	lnc_inter_chr10_8711_DBR1_Abcb7_RBR3
lnc_inter_chr10_8711	Aebp2	10	lnc_inter_chr10_8711_Aebp2_DBR7	7	chr10	4649	4696	47	1	12	27	1.2	14.4	19	0.15458333333333335	0.3375	lnc_inter_chr10_8711_DBR7_Aebp2_RBR4
lnc_inter_chr10_8711	Ankrd46	10	lnc_inter_chr10_8711_Ankrd46_DBR1	1	chr10	4643	4696	53	1	26	34	1.303834808259587	33.89970501474926	22.26923076923077	0.14676923076923076	0.37615384615384617	lnc_inter_chr10_8711_DBR1_Ankrd46_RBR1
lnc_inter_chr10_8711	Arid1b	10	lnc_inter_chr10_8711_Arid1b_DBR1	1	chr10	4651	4696	45	1	33	56	2.2871287128712874	75.47524752475249	20.03030303030303	0.18303030303030304	0.43424242424242426	lnc_inter_chr10_8711_DBR1_Arid1b_RBR2
lnc_inter_chr10_8711	Arpp19	10	lnc_inter_chr10_8711_Arpp19_DBR1	1	chr10	4643	4696	53	1	228	105	4.293400286944046	978.8952654232426	20.48684210526316	0.16755263157894737	0.3953947368421053	lnc_inter_chr10_8711_DBR1_Arpp19_RBR1
lnc_inter_chr10_8711	Acp6	11	lnc_inter_chr10_8711_Acp6_DBR7	7	chr10	4815	4836	21	1	2	23	1.1219512195121952	2.2439024390243905	16.5	0.195	0.0975	lnc_inter_chr10_8711_DBR7_Acp6_RBR1
lnc_inter_chr10_8711	Adamts6	11	lnc_inter_chr10_8711_Adamts6_DBR9	9	chr10	4815	4836	21	2	4	59	2.9	6.699999999999999	16.833333333333336	0.17833333333333334	0.11416666666666668	lnc_inter_chr10_8711_DBR9_Adamts6_RBR2,lnc_inter_chr10_8711_DBR9_Adamts6_RBR3
lnc_inter_chr10_8711	Arl8b	11	lnc_inter_chr10_8711_Arl8b_DBR6	6	chr10	4815	4836	21	1	2	23	1.1219512195121952	2.2439024390243905	16.5	0.195	0.14500000000000002	lnc_inter_chr10_8711_DBR6_Arl8b_RBR2
lnc_inter_chr10_8711	Apoh	12	lnc_inter_chr10_8711_Apoh_DBR2	2	chr10	8679	8706	27	1	2	27	1.2	2.4	18	0.2	0.49	lnc_inter_chr10_8711_DBR2_Apoh_RBR1
lnc_inter_chr10_8711	Abcg2	12	lnc_inter_chr10_8711_Abcg2_DBR2	2	chr10	8685	8707	22	1	2	41	2.05	4.1	16	0.2	0.4	lnc_inter_chr10_8711_DBR2_Abcg2_RBR1
lnc_inter_chr10_8711	Agtr1a	13	lnc_inter_chr10_8711_Agtr1a_DBR10	10	chr10	10526	10546	20	1	2	37	1.85	3.7	16	0.2	0.25	lnc_inter_chr10_8711_DBR10_Agtr1a_RBR1
lnc_inter_chr10_8711	Abca8a	13	lnc_inter_chr10_8711_Abca8a_DBR5	5	chr10	10528	10549	21	1	2	22	1.0731707317073171	2.1463414634146343	16.5	0.195	0.39	lnc_inter_chr10_8711_DBR5_Abca8a_RBR3
lnc_inter_chr10_8711	Abcb7	13	lnc_inter_chr10_8711_Abcb7_DBR2	2	chr10	10529	10550	21	1	3	46	2.3	6.8999999999999995	16.666666666666668	0.16666666666666666	0.4	lnc_inter_chr10_8711_DBR2_Abcb7_RBR3
lnc_inter_chr10_8711	Adamts6	13	lnc_inter_chr10_8711_Adamts6_DBR10	10	chr10	10527	10550	23	1	2	31	1.4761904761904765	2.952380952380953	17	0.19	0.43	lnc_inter_chr10_8711_DBR10_Adamts6_RBR5
lnc_inter_chr10_8711	Arpp19	14	lnc_inter_chr10_8711_Arpp19_DBR2	2	chr10	11642	11670	28	1	26	85	3.2357247437774523	84.12884333821376	21.46153846153846	0.18423076923076925	0.35730769230769227	lnc_inter_chr10_8711_DBR2_Arpp19_RBR1
lnc_inter_chr10_8711	Apip	14	lnc_inter_chr10_8711_Apip_DBR1	1	chr10	11660	11682	22	1	2	22	1.1	2.2	16	0.2	0.475	lnc_inter_chr10_8711_DBR1_Apip_RBR1
lnc_inter_chr10_8711	Afg3l1	14	lnc_inter_chr10_8711_Afg3l1_DBR1	1	chr10	11662	11690	28	2	3	45	2.25	3.5	16	0.2	0.475	lnc_inter_chr10_8711_DBR1_Afg3l1_RBR1,lnc_inter_chr10_8711_DBR1_Afg3l1_RBR2
lnc_inter_chr10_8711	Abcd2	14	lnc_inter_chr10_8711_Abcd2_DBR4	4	chr10	11673	11695	22	1	2	22	1.0476190476190477	2.0952380952380953	17	0.19	0.355	lnc_inter_chr10_8711_DBR4_Abcd2_RBR1
