Gene	Bias	TCPOBOP_FPKM	TCPOBOP_FC	TCPOBOP_Compartment
AHDC1	Down	3.75	-2.04	CBnPAs - Female
AHSG	Down	1779.52	-2.72	CB - Female
AI464131	Down	5.24	-1.71	CBnPAs - Male
AIFM2	Down	20.38	-1.66	Nuc - Female
AIFM3	Down	7.23	-2.39	CB - Male
AKR1C20	Down	38.51	-2.05	NP - Male
ALB	Down	1596.11	-1.88	CB - Female
ALPK2	Down	0.05	-13.10	CBnPAs - Male
AMDHD2	Down	14.88	-1.81	Nuc - Female
AMER1	Down	1.00	-1.84	CBnPAs - Male
ANG	Down	709.13	-5.57	Cyto - Female
ANGPT2	Down	0.21	-4.34	Cyto - Female
ANGPTL3	Down	82.59	-1.76	Nuc - Female
APOC1	Down	1020.92	-1.98	CB - Female
APOC2	Down	160.98	-1.96	CB - Female
APOC4	Down	1626.98	-2.02	Nuc - Female
APOE	Down	22388.80	-1.96	Nuc - Female
APOH	Down	1702.02	-1.81	Nuc - Female
APOL7A	Down	65.40	-2.73	Cyto - Female
APOM	Down	109.25	-1.83	CB - Female
AQP8	Down	208.40	-2.05	Nuc - Female
ARHGEF19	Down	21.59	-1.92	Nuc - Female
ARHGEF37	Down	3.12	-2.06	CBnPAs - Female
ARHGEF9	Down	0.53	-2.36	CBnPAs - Female
ARID3A	Down	0.48	-2.67	CBnPAs - Female
ARID5B	Down	8.87	-2.58	CB - Female
ARL4A	Down	4.27	-1.88	Nuc - Female
ARL4D	Down	31.04	-3.15	Nuc - Female
ARMC9	Down	0.93	-2.03	Nuc - Female
ARRDC2	Down	3.73	-2.50	Cyto - Male
ARRDC4	Down	3.66	-2.46	Nuc - Female
ARSA	Down	6.66	-2.04	CBnPAs - Male
ASGR2	Down	333.40	-2.36	Nuc - Female
ASPDH	Down	102.23	-2.12	Nuc - Female
ATG16L1	Down	17.97	-1.75	Nuc - Female
ATOH8	Down	10.11	-3.45	Cyto - Male
ATP5SL	Down	19.86	-1.89	Nuc - Female
ATP8B1	Down	2.07	-1.87	CB - Female
AVPR1A	Down	15.77	-1.95	Nuc - Female
B4GALNT1	Down	49.54	-1.98	 Nuc - Male
BAD	Down	7.46	-2.04	CB - Female
BAI2	Down	0.14	-19.29	 Nuc - Male
BC021891	Down	1.20	-1.91	CBnPAs - Male
BC029214	Down	62.29	-2.79	Nuc - Female
BC089597	Down	337.15	-5.61	NP - Female
BCHE	Down	4.75	-2.15	Nuc - Female
BCL9L	Down	6.38	-1.72	CBnPAs - Male
BCORL1	Down	1.80	-2.09	CBnPAs - Male
BCR	Down	4.59	-1.62	CBnPAs - Male
BHMT	Down	1103.78	-7.79	Cyto - Female
BID	Down	4.98	-2.06	NP - Male
BMF	Down	6.97	-11.81	Cyto - Female
BMP1	Down	58.05	-2.02	Nuc - Female
BRD3	Down	22.41	-1.81	CB - Female
BST1	Down	1.98	-3.06	 Nuc - Male
C130074G19RIK	Down	78.26	-2.09	Cyto - Female
C1S1	Down	107.17	-2.26	Cyto - Female
C330021F23RIK	Down	6.02	-3.01	Cyto - Female
C4B	Down	168.50	-1.98	CB - Female
C730036E19RIK	Down	20.81	-15.31	NP - Male
C77080	Down	4.74	-2.07	CBnPAs - Male
C9	Down	112.60	-1.85	Nuc - Female
CABLES1	Down	4.67	-2.93	Nuc - Female
CAMK1D	Down	6.48	-2.12	CB - Female
CAMKK2	Down	10.89	-1.94	CB - Female
CAPRIN2	Down	1.02	-3.48	Nuc - Female
CAR5A	Down	91.40	-2.16	Cyto - Female
CARD10	Down	1.42	-2.08	CBnPAs - Male
CBFA2T3	Down	0.84	-2.34	CB - Male
CBLN3	Down	0.32	-3.71	Cyto - Female
CBS	Down	90.14	-1.73	CB - Female
CCDC103	Down	0.25	-44.07	 Nuc - Male
CCDC107	Down	105.02	-1.85	Nuc - Female
CCDC138	Down	0.73	-2.59	Nuc - Female
CCDC141	Down	4.97	-2.45	NP - Male
CCDC151	Down	0.97	-3.79	CB - Male
CCDC157	Down	2.34	-1.81	 Nuc - Male
CCDC162	Down	1.79	-3.17	Cyto - Female
CCR3	Down	3.08	-2.35	NP - Male
CCS	Down	214.68	-2.42	CB - Female
CD59A	Down	34.08	-1.87	CB - Male
CD79A	Down	8.29	-1.89	 Nuc - Male
CDA	Down	21.39	-1.84	Nuc - Female
CDC14B	Down	14.27	-1.93	CB - Female
CDCP1	Down	1.40	-1.85	CBnPAs - Female
CDH11	Down	0.30	-5.64	NP - Male
CDIP1	Down	13.71	-1.71	Nuc - Female
CDKN1C	Down	2.86	-2.12	Nuc - Female
CEACAM2	Down	2.09	-28.24	NP - Male
CEBPA	Down	173.13	-1.74	Nuc - Female
CELA1	Down	86.07	-3.31	Cyto - Female
CENPM	Down	8.33	-1.93	Nuc - Female
CEP112	Down	0.53	-3.83	CB - Male
CES3A	Down	700.67	-2.54	NP - Female
CES3B	Down	306.25	-4.79	NP - Female
CES4A	Down	0.57	-8.30	NP - Female
CFAP53	Down	0.81	-183.57	Cyto - Male
CGN	Down	5.96	-1.89	CBnPAs - Female
CHAC1	Down	2.01	-3.61	 Nuc - Male
CHCHD7	Down	7.55	-1.86	NP - Male
CHD3	Down	16.82	-2.14	CB - Female
CHKA	Down	33.70	-4.00	NP - Female
CHKB	Down	47.41	-1.79	Nuc - Female
CHKBCPT1B	Down	19.47	-1.75	Nuc - Female
CHRNE	Down	0.56	-5.18	Nuc - Female
CISD1	Down	166.59	-1.70	Nuc - Female
CISH	Down	25.89	-7.48	Nuc - Female
CLCN2	Down	8.83	-1.89	CBnPAs - Male
CLDN15	Down	1.85	-4.66	NP - Male
CLDN2	Down	33.65	-2.58	Cyto - Female
CLDN3	Down	20.39	-1.91	CB - Female
CLEC2D	Down	235.02	-1.96	Nuc - Female
CLEC2H	Down	15.93	-5.85	CB - Male
CLEC3B	Down	1.70	-7.16	NP - Male
CNPPD1	Down	19.20	-2.34	Cyto - Male
CNTFR	Down	1.74	-2.00	CBnPAs - Female
COL18A1	Down	60.29	-1.79	CBnPAs - Female
COL5A3	Down	2.11	-2.25	CBnPAs - Female
COMT	Down	144.15	-2.40	CB - Male
COQ10A	Down	13.54	-1.74	 Nuc - Male
CORIN	Down	3.18	-4.50	CB - Female
COX7A2L	Down	167.94	-2.07	Cyto - Female
CRHR2	Down	0.39	-7.19	NP - Female
CSRP2	Down	43.42	-2.58	Cyto - Female
CST3	Down	232.71	-2.25	Cyto - Female
CUX2	Down	12.66	-2.55	CBnPAs - Female
CXCL1	Down	31.93	-3.72	NP - Male
CYB561	Down	11.31	-2.03	Nuc - Female
CYB561D1	Down	0.92	-1.97	CBnPAs - Male
CYP26B1	Down	11.50	-17.91	Nuc - Female
CYP2A22	Down	0.49	-8.13	CBnPAs - Male
CYP2C38	Down	19.06	-2.78	Cyto - Female
CYP2C39	Down	3.38	-4.63	CBnPAs - Male
CYP2C40	Down	203.95	-3.11	Cyto - Female
CYP2C67	Down	131.02	-1.72	 Nuc - Male
CYP2C69	Down	186.55	-5.13	Cyto - Female
CYP2D26	Down	517.94	-2.50	NP - Female
CYP2D40	Down	55.44	-2.16	Cyto - Female
CYP3A16	Down	61.91	-8.02	Cyto - Female
CYP3A41B	Down	46.68	-3.80	Cyto - Female
CYP46A1	Down	11.08	-3.65	CB - Male
CYP4A10	Down	15.71	-4.36	NP - Male
CYP4A14	Down	34.27	-5.51	NP - Male
CYP4A32	Down	37.03	-2.51	NP - Male
CYP4F14	Down	165.18	-2.70	Nuc - Female
CYP4F16	Down	5.06	-2.94	CB - Male
CYP7A1	Down	9.72	-2.21	 Nuc - Male
CYP8B1	Down	154.93	-2.91	 Nuc - Male
D130043K22RIK	Down	1.59	-2.00	Nuc - Female
D230025D16RIK	Down	23.79	-1.65	Nuc - Female
D630003M21RIK	Down	0.29	-4.11	CB - Female
D930015E06RIK	Down	10.26	-1.96	NP - Male
DCT	Down	17.99	-4.07	Cyto - Female
DCXR	Down	70.78	-1.79	NP - Male
DDAH1	Down	11.06	-2.47	NP - Male
DDC	Down	31.52	-2.64	CB - Female
DEXI	Down	21.84	-1.81	 Nuc - Male
DIO3	Down	0.17	-48.85	Cyto - Female
DNAIC1	Down	10.86	-20.47	Cyto - Female
DNMT3B	Down	3.51	-2.24	CB - Female
DOS	Down	1.18	-2.62	Nuc - Female
DQX1	Down	8.23	-2.07	Nuc - Female
DYRK1B	Down	4.81	-1.68	CBnPAs - Male
E230016M11RIK	Down	2.42	-2.67	CBnPAs - Male
ECH1	Down	392.49	-2.06	Cyto - Female
ECI3	Down	5.17	-3.12	NP - Female
EGFR	Down	7.02	-2.86	CB - Female
EGR1	Down	2.86	-6.17	CBnPAs - Female
EI24	Down	117.96	-2.09	Cyto - Female
EIF4EBP1	Down	7.27	-2.61	CB - Female
EIF4EBP3	Down	15.61	-2.69	Nuc - Female
ELL3	Down	2.60	-5.69	NP - Male
EML2	Down	1.61	-2.40	CBnPAs - Male
EMP2	Down	4.43	-2.50	Cyto - Female
ENHO	Down	119.57	-2.17	Cyto - Female
ENPP2	Down	8.63	-2.15	CB - Male
ENTPD8	Down	80.91	-1.85	Nuc - Female
EPHB2	Down	0.08	-39.95	NP - Female
ERRFI1	Down	137.36	-2.41	Nuc - Female
ESPN	Down	0.50	-4.40	CB - Female
ESRRB	Down	0.15	-17.28	 Nuc - Male
ESRRG	Down	0.29	-3.24	CB - Female
ETNPPL	Down	11.51	-5.10	Cyto - Female
EVA1C	Down	0.26	-6.55	CBnPAs - Female
EVC	Down	0.51	-3.12	CBnPAs - Male
EVPL	Down	0.13	-6.28	CB - Female
EXTL1	Down	5.56	-2.17	 Nuc - Male
F11	Down	76.46	-2.13	NP - Male
F830016B08RIK	Down	9.16	-2.09	CB - Female
FABP5	Down	215.19	-5.56	Cyto - Female
FAM102A	Down	5.02	-1.98	Nuc - Female
FAM129B	Down	4.71	-3.55	Cyto - Male
FAM13A	Down	5.13	-2.17	NP - Male
FAM160A1	Down	1.70	-1.74	CBnPAs - Female
FAM210B	Down	2.83	-1.94	CBnPAs - Female
FAM213A	Down	59.73	-2.01	Cyto - Female
FAM213B	Down	47.44	-2.22	Cyto - Female
FAM222A	Down	0.92	-2.97	CBnPAs - Male
FAM65B	Down	0.37	-4.12	Cyto - Female
FAM83F	Down	2.06	-2.32	Nuc - Female
FAM89A	Down	8.96	-2.47	Nuc - Female
FASTKD1	Down	3.97	-1.83	Nuc - Female
FBP1	Down	765.43	-2.35	Cyto - Female
FBXL12OS	Down	0.17	-36.31	Nuc - Female
FBXO31	Down	16.55	-1.90	 Nuc - Male
FBXO44	Down	2.46	-4.30	CB - Female
FGF1	Down	16.49	-2.29	Nuc - Female
FGF21	Down	5.06	-4.42	Nuc - Female
FGFR4	Down	11.69	-1.74	CBnPAs - Male
FIGN	Down	1.38	-2.27	CB - Male
FMO2	Down	3.39	-2.91	CBnPAs - Female
FMO3	Down	132.77	-19.54	Cyto - Female
FMOD	Down	0.96	-9.61	 Nuc - Male
FOXQ1	Down	19.20	-5.04	CB - Male
FRAS1	Down	0.24	-2.78	Cyto - Female
FXYD7	Down	1.20	-9.71	NP - Female
FZD4	Down	2.36	-1.90	CBnPAs - Male
G6PC	Down	61.20	-4.33	CB - Female
GABRA3	Down	0.74	-266.72	NP - Male
GADD45G	Down	97.64	-9.73	 Nuc - Male
GAL3ST1	Down	2.76	-2.80	Nuc - Female
GALT	Down	35.54	-2.02	Nuc - Female
GAMT	Down	120.10	-1.98	Nuc - Female
GAREM	Down	2.31	-1.98	CB - Male
GAS6	Down	37.44	-2.36	Cyto - Male
GATSL3	Down	1.73	-3.72	Cyto - Male
GBP11	Down	15.26	-2.80	CBnPAs - Female
GCNT2	Down	5.14	-1.93	CBnPAs - Female
GCNT3	Down	0.14	-64.11	NP - Female
GDPD3	Down	5.87	-12.27	Nuc - Female
GJB4	Down	1.98	-112.08	CB - Female
GLT28D2	Down	0.80	-3.28	CB - Male
GLUL	Down	126.08	-1.90	 Nuc - Male
GM10390	Down	0.08	-13.56	CBnPAs - Female
GM15401	Down	23.07	-6.98	CB - Female
GM1600	Down	0.86	-2.84	CBnPAs - Female
GM16551	Down	7.84	-3.43	NP - Female
GM17066	Down	4.72	-1.78	Nuc - Female
GM17821	Down	0.17	-5.28	Cyto - Female
GM20219	Down	0.36	-6.76	CBnPAs - Male
GM4951	Down	39.51	-2.45	CB - Female
GM6614	Down	0.93	-13.07	Nuc - Female
GM8615	Down	16.60	-2.47	NP - Male
GM9992	Down	1.09	-2.92	CBnPAs - Male
GNMT	Down	1277.50	-1.80	Nuc - Female
GNPDA1	Down	3.57	-1.93	Nuc - Female
GOT1	Down	79.29	-1.87	Nuc - Female
GPD1	Down	22.41	-2.42	CB - Female
GPLD1	Down	78.34	-2.19	Nuc - Female
GPR137	Down	27.62	-1.72	Nuc - Female
GPR157	Down	0.62	-2.43	CBnPAs - Male
GPX1	Down	3791.60	-2.22	Cyto - Female
GPX3	Down	1.26	-2.75	CB - Female
GRCC10	Down	94.76	-1.75	Nuc - Female
GRIK4	Down	1.27	-2.60	CB - Female
GRIK5	Down	17.76	-2.69	CB - Female
GRPEL2	Down	11.97	-1.89	NP - Male
GTPBP4	Down	17.86	-2.44	CB - Female
GULO	Down	118.78	-1.90	Nuc - Female
GZMB	Down	1.96	-3.59	NP - Male
H2-K1	Down	168.77	-8.20	 Nuc - Male
H2-KE6	Down	108.02	-1.64	Nuc - Female
HAGHL	Down	4.84	-1.81	Nuc - Female
HAMP	Down	1680.92	-2.39	NP - Male
HAMP2	Down	24.33	-3.00	CB - Female
HAND2	Down	0.98	-2.35	CBnPAs - Female
HDDC3	Down	7.40	-1.79	Nuc - Female
HDHD3	Down	10.91	-1.82	Nuc - Female
HES6	Down	79.88	-2.84	Nuc - Female
HEXB	Down	12.40	-2.08	Cyto - Female
HGFAC	Down	137.41	-2.38	Nuc - Female
HINT2	Down	88.92	-1.73	Nuc - Female
HIP1R	Down	7.72	-1.71	Nuc - Female
HIST4H4	Down	0.10	-6.78	NP - Male
HIVEP2	Down	1.48	-2.00	CB - Female
HOGA1	Down	27.63	-1.63	Nuc - Female
HOOK2	Down	1.93	-1.65	Nuc - Female
HOXB3	Down	0.54	-2.81	CBnPAs - Female
HPS4	Down	4.01	-1.65	CBnPAs - Female
HSBP1L1	Down	1.00	-5.87	Nuc - Female
HSD17B11	Down	60.20	-2.05	Cyto - Female
HSD17B13	Down	121.25	-2.50	Cyto - Female
HSD17B6	Down	67.19	-2.23	Nuc - Female
HSD3B1	Down	1.78	-5.09	Cyto - Female
HSD3B2	Down	32.24	-5.90	Cyto - Female
HSD3B3	Down	58.18	-1.95	 Nuc - Male
HSD3B5	Down	22.44	-25.01	Cyto - Female
HTRA3	Down	0.15	-46.90	CBnPAs - Male
HYAL1	Down	25.92	-2.52	Nuc - Female
HYAL3	Down	1.59	-3.14	Nuc - Female
IAH1	Down	95.12	-1.67	Nuc - Female
ID4	Down	0.60	-3.10	Nuc - Female
IER2	Down	59.42	-2.53	Nuc - Female
IGF1	Down	24.32	-2.30	CB - Female
IGFALS	Down	229.17	-2.32	Nuc - Female
IGFBP1	Down	63.39	-5.97	NP - Female
IGFBP6	Down	5.18	-3.57	NP - Male
IIGP1	Down	90.77	-1.92	CB - Female
IKZF4	Down	1.10	-6.69	CB - Female
IL22RA1	Down	4.02	-2.21	 Nuc - Male
IL6RA	Down	5.68	-2.64	CB - Male
ILDR2	Down	6.29	-3.95	CB - Female
INCA1	Down	7.41	-1.69	Nuc - Female
IP6K2	Down	17.44	-2.11	Nuc - Female
IQCE	Down	15.84	-1.98	CBnPAs - Male
IRF2BP2	Down	7.20	-2.01	CBnPAs - Female
IRF5	Down	4.40	-1.88	Nuc - Female
IRS2	Down	15.73	-2.15	CBnPAs - Female
ISOC2B	Down	2.40	-2.44	Cyto - Female
ISYNA1	Down	17.17	-2.00	Nuc - Female
ITIH2	Down	85.03	-2.07	CB - Female
ITIH3	Down	469.83	-2.14	CB - Female
ITPR2	Down	11.08	-1.88	CB - Male
IZUMO4	Down	2.78	-2.26	NP - Male
JADE2	Down	2.04	-3.30	CBnPAs - Male
KCNK6	Down	4.12	-2.33	CBnPAs - Female
KDM6B	Down	4.58	-1.81	CB - Male
KIF26B	Down	0.31	-2.92	CBnPAs - Female
KIFC2	Down	7.21	-2.34	CB - Male
KISS1	Down	0.42	-4.94	Nuc - Female
KLB	Down	5.69	-2.09	CBnPAs - Female
KLF9	Down	49.17	-2.09	CB - Male
KLHDC7A	Down	21.29	-2.16	 Nuc - Male
KLHDC8A	Down	2.36	-2.10	Nuc - Female
KLKB1	Down	53.95	-1.67	Nuc - Female
KNG1	Down	461.47	-2.04	CB - Female
KRT17	Down	0.61	-91.75	 Nuc - Male
KSR1	Down	0.47	-2.18	CBnPAs - Male
L3HYPDH	Down	2.39	-1.90	CBnPAs - Male
LAD1	Down	4.69	-3.01	Nuc - Female
LCN12	Down	1.13	-5.32	Nuc - Female
LGALS4	Down	2.53	-4.10	Cyto - Male
LGALS6	Down	3.51	-3.77	Cyto - Male
LGR5	Down	1.22	-3.26	NP - Female
LHPP	Down	5.34	-3.41	CB - Male
LIMD2	Down	16.64	-2.25	Cyto - Female
LINGO4	Down	2.48	-2.13	CB - Female
LIPC	Down	23.30	-2.18	CB - Female
LOC102636514	Down	2.32	-2.75	NP - Male
LPPR1	Down	0.53	-7.60	Nuc - Female
LRFN4	Down	0.14	-7.67	CBnPAs - Female
LRG1	Down	57.12	-2.44	CB - Female
LRP1	Down	250.45	-1.72	CBnPAs - Female
LRRC3	Down	69.02	-1.67	Nuc - Female
LRRFIP1	Down	8.36	-1.82	CB - Male
LSM11	Down	5.86	-2.03	CB - Female
LTC4S	Down	0.93	-4.42	NP - Female
LUC7L3	Down	67.52	-1.82	NP - Male
LY6D	Down	1.07	-6.32	Cyto - Female
LYZ1	Down	4.03	-2.31	Cyto - Female
LYZ2	Down	48.41	-2.12	Cyto - Female
LZTS2	Down	4.27	-2.02	CB - Female
MACROD1	Down	18.87	-2.08	Nuc - Female
MAFB	Down	9.05	-1.99	CBnPAs - Female
MAFG	Down	11.53	-1.84	CBnPAs - Male
MAPKAPK3	Down	0.43	-4.98	CB - Female
MAT1A	Down	452.69	-1.67	Nuc - Female
MBL1	Down	12.66	-2.43	CB - Female
MCM10	Down	24.82	-2.62	Cyto - Female
MCMDC2	Down	1.12	-4.82	Cyto - Female
METTL23	Down	4.43	-1.74	Nuc - Female
MGMT	Down	3.67	-1.81	Nuc - Female
MGP	Down	0.42	-2.34	NP - Male
MGST3	Down	9.31	-2.93	Cyto - Female
MIR122	Down	172.88	-2.73	Nuc - Female
MIR17HG	Down	121.44	-2.47	Nuc - Female
MIR1981	Down	14.23	-3.73	Nuc - Female
MIR292B	Down	35.27	-3.20	CBnPAs - Female
MIR3073A	Down	9.27	-4.11	CBnPAs - Male
MIR6921	Down	38.84	-2.94	Nuc - Female
MIR6972	Down	29.69	-2.72	Nuc - Female
MIR7034	Down	7.11	-15.51	Nuc - Female
MIR7036	Down	35.57	-2.93	Nuc - Female
MIR7578	Down	162.17	-4.92	CB - Female
MIR7659	Down	15.38	-3.38	CBnPAs - Female
MIR7675	Down	16.40	-5.40	 Nuc - Male
MIR7678	Down	201.10	-3.16	NP - Male
MIR8114	Down	56.99	-2.43	CBnPAs - Male
MLLT6	Down	6.79	-1.92	CBnPAs - Male
MMD	Down	59.60	-2.30	Cyto - Female
MMD2	Down	7.41	-2.99	 Nuc - Male
MMP14	Down	2.84	-1.89	CBnPAs - Male
MMP15	Down	5.21	-2.83	CB - Female
MREG	Down	54.21	-2.26	Cyto - Female
MSANTD2	Down	6.57	-1.87	NP - Male
MSH3	Down	28.40	-1.90	NP - Male
MSH5	Down	6.11	-3.21	NP - Female
MSLN	Down	3.69	-3.79	NP - Male
MT1	Down	259.51	-6.08	Cyto - Male
MT2	Down	363.95	-4.55	Cyto - Male
MTX3	Down	11.71	-2.11	NP - Male
MUP13	Down	129.88	-28.82	Cyto - Female
MUP21	Down	34.26	-24.19	Nuc - Female
MUP8	Down	9.61	-3.80	NP - Male
MX2	Down	3.95	-2.36	NP - Male
MYH7B	Down	0.94	-4.28	CB - Female
MYO1E	Down	13.42	-1.86	CB - Male
NAB2	Down	5.83	-1.85	 Nuc - Male
NACC2	Down	6.52	-1.89	CB - Female
NAT6	Down	20.05	-2.46	CB - Female
NAT9	Down	11.52	-1.79	Nuc - Female
NCKAP5	Down	2.94	-2.53	CBnPAs - Female
NCMAP	Down	8.11	-3.37	CB - Female
ncRNA_as_chr1_18	Down	0.08	-13.60	NP - Female
ncRNA_as_chr1_252	Down	25.60	-3.11	NP - Male
ncRNA_as_chr1_347	Down	0.25	-48.14	CB - Male
