Gene	SB_Bias	SB_FPKM	SB_FC	SB_Compartment
ncRNA_inter_chr1_850	Female	5.33	-3.91	CBNPAS
ncRNA_inter_chr1_853	Female	9.42	-3.47	CBNPAS
ncRNA_inter_chr1_984	Female	0.75	-7.45	CBNPAS
ncRNA_inter_chr1_985	Female	3.12	-5.82	CBNPAS
ncRNA_inter_chr1_987	Female	36.89	-10.15	CB
ncRNA_inter_chr10_8709	Female	0.49	-13.30	CBNPAS
ncRNA_inter_chr10_9178	Female	5.18	-3.76	CB
ncRNA_inter_chr10_9185	Female	0.48	-62.38	CB
ncRNA_inter_chr10_9223	Female	1.93	-3.20	CBNPAS
ncRNA_inter_chr10_9263	Female	10.26	-2.80	CB
ncRNA_inter_chr10_9281	Female	1.16	-6.80	CB
ncRNA_inter_chr10_9284	Female	1.52	-8.55	CB
ncRNA_inter_chr10_9287	Female	0.78	-9.65	CBNPAS
ncRNA_inter_chr11_10069	Female	0.99	-3.41	CB
ncRNA_inter_chr11_9513	Female	0.85	-9.10	CBNPAS
ncRNA_inter_chr11_9780	Female	1.41	-9.26	CBNPAS
ncRNA_inter_chr11_9963	Female	24.18	-2.57	CB
ncRNA_inter_chr11_9964	Female	13.08	-2.55	CB
ncRNA_inter_chr11_9967	Female	46.04	-2.39	CBNPAS
ncRNA_inter_chr12_10421	Female	8.07	-3.27	CBNPAS
ncRNA_inter_chr12_10621	Female	0.47	-4.93	CBNPAS
ncRNA_inter_chr12_10681	Female	1.45	-15.81	CB
ncRNA_inter_chr13_11028	Female	2.06	-39.30	CB
ncRNA_inter_chr13_11031	Female	24.58	-2.03	CBNPAS
ncRNA_inter_chr13_11189	Female	1.99	-34.81	CB
ncRNA_inter_chr13_11294	Female	1.18	-21.80	CYTO
ncRNA_inter_chr13_11437	Female	12.16	-4.48	CBNPAS
ncRNA_inter_chr13_11438	Female	9.00	-3.99	CBNPAS
ncRNA_inter_chr13_11602	Female	1.12	-48.69	CB
ncRNA_inter_chr14_11847	Female	2.88	-12.03	CB
ncRNA_inter_chr14_11848	Female	3.24	-3.11	CB
ncRNA_inter_chr14_11911	Female	10.97	-2.83	CBNPAS
ncRNA_inter_chr14_12191	Female	34.29	-7.35	CB
ncRNA_inter_chr14_12193	Female	61.64	-5.90	CB
ncRNA_inter_chr15_12561	Female	4.41	-7.07	CB
ncRNA_inter_chr15_12562	Female	14.99	-7.97	CBNPAS
ncRNA_inter_chr15_12563	Female	11.40	-11.04	CBNPAS
ncRNA_inter_chr15_12564	Female	9.92	-22.09	CBNPAS
ncRNA_inter_chr15_12565	Female	0.47	-72.46	CBNPAS
ncRNA_inter_chr15_12566	Female	3.69	-10.80	CBNPAS
ncRNA_inter_chr15_12585	Female	0.81	-92.86	NP
ncRNA_inter_chr15_12586	Female	0.79	-100.43	CBNPAS
ncRNA_inter_chr15_12587	Female	0.61	-109.27	CBNPAS
ncRNA_inter_chr15_12588	Female	3.72	-21.44	CB
ncRNA_inter_chr15_12590	Female	1.69	-395.77	CBNPAS
ncRNA_inter_chr15_12591	Female	1.34	-170.87	CBNPAS
ncRNA_inter_chr15_12592	Female	0.25	-88.46	CBNPAS
ncRNA_inter_chr15_12593	Female	0.97	-137.85	CBNPAS
ncRNA_inter_chr15_12594	Female	0.14	-52.38	CB
ncRNA_inter_chr15_12595	Female	0.54	-86.94	CB
ncRNA_inter_chr15_12597	Female	2.06	-98.78	CB
ncRNA_inter_chr15_12609	Female	23.90	-3.77	CB
ncRNA_inter_chr15_12630	Female	0.24	-10.90	CB
ncRNA_inter_chr15_12633	Female	7.50	-7.96	CBNPAS
ncRNA_inter_chr15_12683	Female	1.44	-23.43	CB
ncRNA_inter_chr15_12704	Female	0.47	-56.76	CBNPAS
ncRNA_inter_chr15_12956	Female	3.47	-24.74	NP
ncRNA_inter_chr16_13049	Female	8.40	-3.43	CBNPAS
ncRNA_inter_chr16_13408	Female	0.85	-62.92	CBNPAS
ncRNA_inter_chr16_13412	Female	0.21	-18.93	CB
ncRNA_inter_chr16_13415	Female	2.76	-5.94	CB
ncRNA_inter_chr16_13428	Female	0.94	-67.40	CYTO
ncRNA_inter_chr17_13736	Female	4.29	-3.90	CB
ncRNA_inter_chr17_13843	Female	19.90	-4.95	CYTO
ncRNA_inter_chr18_14339	Female	5.21	-3.02	CB
ncRNA_inter_chr19_14769	Female	7.53	-14.08	CBNPAS
ncRNA_inter_chr19_14770	Female	4.57	-21.95	NP
ncRNA_inter_chr19_14771	Female	0.70	-65.86	CB
ncRNA_inter_chr19_14964	Female	1.92	-3.08	CBNPAS
ncRNA_inter_chr2_1098	Female	3.69	-3.97	CB
ncRNA_inter_chr2_1300	Female	3.23	-4.69	CB
ncRNA_inter_chr2_1430	Female	2.67	-3.71	CB
ncRNA_inter_chr2_1451	Female	1.43	-7.99	CBNPAS
ncRNA_inter_chr2_1934	Female	1.22	-2.53	CBNPAS
ncRNA_inter_chr2_1936	Female	31.05	-9.80	CB
ncRNA_inter_chr2_2089	Female	1.36	-4.96	CB
ncRNA_inter_chr2_2090	Female	1.28	-14.42	CBNPAS
ncRNA_inter_chr2_2112	Female	1.12	-6.71	CBNPAS
ncRNA_inter_chr3_2128	Female	1.48	-8.88	CB
ncRNA_inter_chr3_2361	Female	1.15	-5.86	CBNPAS
ncRNA_inter_chr3_2915	Female	7.24	-16.53	CYTO
ncRNA_inter_chr3_2937	Female	0.76	-4.81	CBNPAS
ncRNA_inter_chr4_3119	Female	40.69	-2.55	CB
ncRNA_inter_chr4_3138	Female	34.30	-2.59	CB
ncRNA_inter_chr4_3157	Female	1.07	-3.72	CBNPAS
ncRNA_inter_chr4_3641	Female	1.69	-74.05	CB
ncRNA_inter_chr4_3819	Female	2.83	-7.23	CBNPAS
ncRNA_inter_chr5_3972	Female	5.63	-5.43	CB
ncRNA_inter_chr5_4008	Female	0.25	-4.00	CB
ncRNA_inter_chr5_4115	Female	22.53	-33.90	CBNPAS
ncRNA_inter_chr5_4116	Female	0.30	-150.42	CB
ncRNA_inter_chr5_4779	Female	7.96	-2.86	CBNPAS
ncRNA_inter_chr6_4827	Female	5.88	-2.42	CBNPAS
ncRNA_inter_chr6_5137	Female	3.88	-15.43	CBNPAS
ncRNA_inter_chr6_5138	Female	13.67	-42.59	CBNPAS
ncRNA_inter_chr6_5253	Female	21.67	-57.10	CB
ncRNA_inter_chr6_5626	Female	5.99	-24.78	CBNPAS
ncRNA_inter_chr6_5627	Female	2.51	-18.13	CBNPAS
ncRNA_inter_chr6_5687	Female	0.68	-10.76	CBNPAS
ncRNA_inter_chr6_5739	Female	1.53	-3.15	CBNPAS
ncRNA_inter_chr6_5741	Female	1.23	-3.92	CBNPAS
ncRNA_inter_chr6_5742	Female	0.77	-4.00	CBNPAS
ncRNA_inter_chr6_5743	Female	1.24	-3.28	CBNPAS
ncRNA_inter_chr6_5746	Female	0.72	-2.69	CBNPAS
ncRNA_inter_chr6_5748	Female	0.49	-2.99	CBNPAS
ncRNA_inter_chr6_5749	Female	0.53	-2.87	CBNPAS
ncRNA_inter_chr6_5750	Female	2.64	-3.85	CB
ncRNA_inter_chr6_5752	Female	15.16	-3.71	CBNPAS
ncRNA_inter_chr6_5753	Female	7.18	-2.58	CBNPAS
ncRNA_inter_chr6_5754	Female	0.58	-2.74	CBNPAS
ncRNA_inter_chr6_5755	Female	1.71	-3.20	CB
ncRNA_inter_chr6_5756	Female	2.87	-2.90	CBNPAS
ncRNA_inter_chr6_5757	Female	0.85	-3.18	CBNPAS
ncRNA_inter_chr6_5759	Female	18.72	-2.35	CBNPAS
ncRNA_inter_chr6_5760	Female	8.47	-3.31	CBNPAS
ncRNA_inter_chr6_5761	Female	11.29	-3.62	CB
ncRNA_inter_chr6_5762	Female	1.44	-3.07	CBNPAS
ncRNA_inter_chr6_5763	Female	0.89	-2.97	CBNPAS
ncRNA_inter_chr6_5764	Female	23.77	-6.95	CB
ncRNA_inter_chr6_5765	Female	14.68	-2.69	CBNPAS
ncRNA_inter_chr6_5766	Female	5.58	-6.15	CBNPAS
ncRNA_inter_chr6_5768	Female	36.24	-2.87	CBNPAS
ncRNA_inter_chr6_5769	Female	99.89	-3.11	CBNPAS
ncRNA_inter_chr6_5770	Female	4.81	-3.08	CBNPAS
ncRNA_inter_chr6_5771	Female	75.31	-3.26	CBNPAS
ncRNA_inter_chr6_5772	Female	89.66	-2.70	CBNPAS
ncRNA_inter_chr6_5774	Female	7.38	-2.62	CBNPAS
ncRNA_inter_chr6_5775	Female	7.89	-4.94	CBNPAS
ncRNA_inter_chr6_5776	Female	61.25	-2.83	CBNPAS
ncRNA_inter_chr6_5777	Female	411.48	-3.09	CBNPAS
ncRNA_inter_chr6_5778	Female	3.43	-3.96	CBNPAS
ncRNA_inter_chr6_5779	Female	6.34	-2.53	CBNPAS
ncRNA_inter_chr6_5782	Female	1.18	-4.18	CBNPAS
ncRNA_inter_chr6_5784	Female	2.66	-2.59	CBNPAS
ncRNA_inter_chr6_5785	Female	1.63	-3.24	CBNPAS
ncRNA_inter_chr6_5786	Female	3.27	-3.33	CBNPAS
ncRNA_inter_chr6_5789	Female	0.44	-4.44	CBNPAS
ncRNA_inter_chr6_5790	Female	5.91	-3.43	CBNPAS
ncRNA_inter_chr6_5792	Female	3.09	-2.91	CBNPAS
ncRNA_inter_chr6_5793	Female	7.91	-3.15	CBNPAS
ncRNA_inter_chr6_5794	Female	0.18	-56.12	NP
ncRNA_inter_chr6_5814	Female	4.36	-2.83	CBNPAS
ncRNA_inter_chr7_5879	Female	1.95	-4.24	CB
ncRNA_inter_chr7_6006	Female	1.47	-87.09	CB
ncRNA_inter_chr7_6180	Female	0.51	-7.46	CB
ncRNA_inter_chr7_6188	Female	0.14	-11.99	CBNPAS
ncRNA_inter_chr7_6191	Female	3.82	-4.89	CBNPAS
ncRNA_inter_chr7_6650	Female	33.92	-2.18	CBNPAS
ncRNA_inter_chr7_6709	Female	3.63	-3.48	CBNPAS
ncRNA_inter_chr8_6743	Female	36.87	-2.08	CB
ncRNA_inter_chr8_6946	Female	0.44	-6.42	CBNPAS
ncRNA_inter_chr8_7105	Female	8.13	-3.16	CBNPAS
ncRNA_inter_chr8_7445	Female	46.31	-2.66	CB
ncRNA_inter_chr8_7675	Female	25.82	-2.49	CB
ncRNA_inter_chr9_7878	Female	2.06	-3.55	CBNPAS
ncRNA_inter_chr9_7992	Female	1.20	-4.39	CBNPAS
ncRNA_inter_chr9_7993	Female	2.83	-4.41	CBNPAS
ncRNA_inter_chr9_8015	Female	2.95	-5.25	CB
ncRNA_inter_chr9_8044	Female	11.64	-2.76	CB
ncRNA_inter_chr9_8073	Female	16.01	-3.22	CB
ncRNA_inter_chr9_8100	Female	1.44	-8.66	CB
ncRNA_inter_chr9_8101	Female	0.57	-5.18	CBNPAS
ncRNA_inter_chr9_8185	Female	29.89	-3.98	CB
ncRNA_inter_chr9_8249	Female	7.04	-3.80	CB
ncRNA_inter_chr9_8282	Female	6.12	-2.76	CBNPAS
ncRNA_inter_chrX_15240	Female	2.88	-7.00	CBNPAS
ncRNA_inter_chrX_15242	Female	1.82	-12.52	CBNPAS
ncRNA_inter_chrX_15243	Female	8.44	-13.77	CB
ncRNA_inter_chrX_15244	Female	1.98	-5.85	CBNPAS
ncRNA_inter_chrX_15246	Female	3.57	-10.97	CB
ncRNA_inter_chrX_15247	Female	8.69	-12.59	CB
ncRNA_inter_chrX_15248	Female	15.81	-7.55	CB
ncRNA_inter_chrX_15255	Female	3.80	-3.11	CB
ncRNA_inter_chrX_15256	Female	3.79	-4.54	CB
ncRNA_inter_chrX_15397	Female	18.48	-2.45	CB
ncRNA_inter_chrX_15404	Female	2.21	-4.54	CB
ncRNA_inter_chrX_15547	Female	18.12	-71.12	CBNPAS
ncRNA_intra_chr1_618	Female	84.04	-3.25	NP
ncRNA_intra_chr19_15006	Female	104.58	-4.07	CB
ncRNA_intra_chr19_15008	Female	1.03	-753.31	CBNPAS
ncRNA_intra_chr19_15009	Female	2.39	-408.48	CBNPAS
ncRNA_intra_chr19_15014	Female	6.45	-8.06	CBNPAS
ncRNA_intra_chr5_4726	Female	4.54	-210.95	CBNPAS
ncRNA_intra_chr5_4728	Female	15.47	-616.43	CBNPAS
ncRNA_intra_chr5_4730	Female	1.27	-47.94	CBNPAS
ncRNA_intra_chr5_4732	Female	0.73	-182.91	CBNPAS
ncRNA_intra_chr5_4734	Female	25.14	-59.50	NP
ncRNA_intra_chr5_4735	Female	0.35	-156.91	CYTO
ncRNA_intra_chr5_4736	Female	4.23	-148.49	CYTO
ncRNA_intra_chr5_4739	Female	1.41	-129.32	CBNPAS
ncRNA_intra_chr5_4740	Female	15.92	-549.74	CBNPAS
ncRNA_intra_chr5_4741	Female	11.28	-481.60	CBNPAS
ncRNA_intra_chr7_5920	Female	0.68	-198.31	CBNPAS
ncRNA_intra_chr7_6001	Female	25.26	-83.31	CBNPAS
NES	Female	2.24	-2.60	CB
NIPAL1	Female	34.86	-5.11	NP
NT5E	Female	63.81	-4.15	NP
ORM3	Female	17.76	-5.83	NP
PCYT1B	Female	0.22	-67.51	CBNPAS
PDK1	Female	12.92	-2.27	NUC
PDZK1IP1	Female	1.08	-4.08	CB
PEG3	Female	19.76	-2.10	CBNPAS
PKP3	Female	3.21	-2.88	NUC
PLS1	Female	0.15	-6.09	CBNPAS
PLTP	Female	2.60	-2.73	CBNPAS
PMVK	Female	13.82	-2.95	CB
PNPLA3	Female	6.75	-6.27	CB
PNRC1	Female	2.41	-2.04	CBNPAS
PRAM1	Female	1.60	-3.21	CBNPAS
PRLR	Female	204.58	-2.94	CB
PROK1	Female	0.29	-9.80	CBNPAS
PROM1	Female	3.18	-5.79	NP
PROM2	Female	3.62	-17.50	NUC
PTGDS	Female	32.36	-3.74	CB
PYGO1	Female	0.50	-12.12	CYTO
RCAN2	Female	7.80	-4.92	CYTO
RFX4	Female	3.53	-14.22	CB
RNF170	Female	19.83	-6.92	CB
RSPH4A	Female	2.31	-45.44	NP
SALL1	Female	4.90	-2.38	CBNPAS
SERPINB1A	Female	2.66	-3.38	CYTO
SGSM1	Female	3.95	-3.80	CBNPAS
SH2D4A	Female	4.33	-3.77	CYTO
SIK1	Female	9.66	-2.23	CBNPAS
SLC13A3	Female	19.85	-2.56	NUC
SLC16A5	Female	13.15	-5.41	NUC
SLC22A26	Female	63.34	-111.90	CYTO
SLC22A27	Female	11.52	-51.53	NP
SLC22A7	Female	80.05	-2.53	NUC
SLC25A25	Female	54.16	-2.63	CBNPAS
SLC34A2	Female	2.34	-9.05	CYTO
SLC39A5	Female	2.18	-4.22	NUC
SOCS2	Female	48.08	-5.02	CB
SRC	Female	1.56	-2.35	CBNPAS
SRGAP3	Female	0.64	-6.06	CBNPAS
SULT2A1	Female	25.67	-133.79	CYTO
SULT2A2	Female	26.27	-157.42	CYTO
SULT2A3	Female	7.61	-1028.28	CYTO
SULT2A4	Female	9.53	-1276.29	CYTO
SULT2A5	Female	10.15	-97.66	CYTO
SULT2A6	Female	7.09	-2148.30	CYTO
SULT3A1	Female	56.89	-174.36	CYTO
SYBU	Female	1.47	-17.29	CBNPAS
SYTL5	Female	1.58	-10.45	CBNPAS
TGM1	Female	21.16	-3.29	NP
TGTP1	Female	1.71	-4.41	CYTO
TGTP2	Female	1.40	-5.12	CYTO
TMEM45B	Female	0.43	-6.90	CYTO
TNFAIP8L3	Female	0.42	-15.80	CYTO
TOX	Female	7.34	-3.23	CB
TRIM24	Female	22.91	-2.84	NP
UBE2U	Female	0.65	-5.61	NP
UGT2B37	Female	3.86	-21.19	CYTO
VMN2R88	Female	1.14	-1266.09	CB
VNN1	Female	3.88	-3.37	CYTO
WNT4	Female	8.62	-3.36	NP
ZBP1	Female	1.79	-2.61	NUC
ZFP13	Female	1.26	-5.33	NP
ZGRF1	Female	0.62	-4.51	CB
ZNF41-PS	Female	1.22	-82.83	CB
2610507I01RIK	Male	1.53	25.43	CYTO
ABCG2	Male	20.59	2.19	NUC
ADH6-PS1	Male	3.35	6.95	CB
ADORA1	Male	11.89	2.57	NUC
AKR1C19	Male	40.06	2.22	NUC
ALAS2	Male	62.70	6.40	CYTO
ANKRD52	Male	1.30	4.06	CB
AOX1	Male	35.38	4.38	NP
AOX3	Male	191.42	4.59	NP
ARFGAP3	Male	1.95	2.18	CBNPAS
ARSA	Male	7.70	2.74	CB
ASNS	Male	4.56	7.84	NP
BCL6	Male	12.52	3.72	NP
BHLHA15	Male	0.21	18.29	NUC
BHLHE41	Male	0.29	8.79	CB
BMP7	Male	0.27	13.69	CB
C4A	Male	38.68	3.65	CB
C6	Male	47.24	2.66	NP
C730036E19RIK	Male	20.81	12.44	NP
C8A	Male	46.91	2.37	CBNPAS
C9	Male	281.93	2.49	NUC
CABYR	Male	7.03	11.94	CB
CAPN8	Male	1.11	5.27	CBNPAS
CDHR2	Male	0.73	5.66	CYTO
CES1F	Male	49.56	2.33	CBNPAS
CHPT1	Male	11.81	2.36	CB
CHRM3	Male	3.93	9.38	CB
CIB3	Male	11.15	8.68	CB
CLEC2H	Male	15.93	10.05	CB
CML2	Male	40.20	2.37	CBNPAS
CML5	Male	7.51	28.63	CYTO
COL27A1	Male	1.05	3.23	CYTO
COL5A3	Male	12.96	5.52	CB
CRYM	Male	2.58	4.22	CB
CSPG5	Male	3.04	5.49	NUC
CSRNP1	Male	3.87	3.51	CYTO
CXCL1	Male	31.93	4.17	NP
CYP21A1	Male	4.21	18.37	CB
CYP2C44	Male	11.49	3.21	CB
CYP2C53-PS	Male	1.42	15.43	CB
CYP2C67	Male	227.98	2.28	NP
CYP2D12	Male	4.78	7.14	NUC
CYP2D9	Male	687.47	14.65	NUC
CYP2J9	Male	8.94	2.24	CB
CYP2U1	Male	9.44	4.62	NUC
CYP3A25	Male	1059.75	2.60	NP
CYP4A12A	Male	150.73	126.42	NP
CYP4A12B	Male	15.77	1286.41	CYTO
CYP7B1	Male	86.64	3.53	NP
DDX3Y	Male	18.50	181.58	NP
DHTKD1	Male	5.60	3.07	CB
DHX9	Male	2.54	2.54	CB
DSG1C	Male	1.73	3.10	CB
EIF2S3Y	Male	42.30	174.38	NP
ELOVL3	Male	62.79	12.59	CYTO
ENPP2	Male	5.23	2.00	CBNPAS
ENPP3	Male	17.64	2.70	NP
EPHX1	Male	176.16	2.80	NP
EVA1A	Male	11.00	1.94	CBNPAS
EXTL1	Male	3.05	2.41	CB
FAM160B1	Male	6.07	2.21	CB
